wandb: Currently logged in as: hungtrab (hungtrab-hanoi-university-of-science-and-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run gsqu89am
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in logs/CartPole_gravity_jump_Adaptive_20251216_224147/wandb/run-20251216_224336-gsqu89am
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run CartPole_gravity_jump_Adaptive_20251216_224147
wandb: ⭐️ View project at https://wandb.ai/hungtrab-hanoi-university-of-science-and-technology/CartPole_Drift_Research
wandb: 🚀 View run at https://wandb.ai/hungtrab-hanoi-university-of-science-and-technology/CartPole_Drift_Research/runs/gsqu89am
Warning: sb3-contrib not installed. TRPO unavailable. Install with: pip install sb3-contrib
--- Training Start: CartPole_gravity_jump_Adaptive_20251216_224147 ---
>>> [Wrapper] Initialized Non-Stationary CartPole
    - gravity: jump (magnitude=10.0, period=50000)
>>> Initializing PPO with kwargs: ['policy', 'env', 'learning_rate', 'gamma', 'verbose', 'tensorboard_log', 'n_steps', 'batch_size']
Using cuda device
Wrapping the env in a DummyVecEnv.
Logging to logs/CartPole_gravity_jump_Adaptive_20251216_224147_0
>>> [DriftAdaptiveCallback] Training Started
    Algorithm: PPO
    Target Param: gravity (base=9.8)
    Scale Factor: 0.1
    
    Adaptive Hyperparameters:
      - Learning Rate: 0.000300
      - Clip Range: 0.200 (adapt=True)
      - Entropy Coef: 0.0000 (adapt=True)
-----------------------------------
| adaptive/            |          |
|    adaptation_factor | 1        |
|    algorithm         | PPO      |
|    base_clip_range   | 0.2      |
|    base_lr           | 0.0003   |
|    clip_range        | 0.2      |
|    drift_magnitude   | 0        |
|    ent_coef          | 0        |
|    learning_rate     | 0.0003   |
| env/                 |          |
|    base_value        | 9.8      |
|    gravity           | 9.8      |
| rollout/             |          |
|    ep_len_mean       | 21.5     |
|    ep_rew_mean       | 21.5     |
| time/                |          |
|    fps               | 1194     |
|    iterations        | 1        |
|    time_elapsed      | 1        |
|    total_timesteps   | 2048     |
-----------------------------------
------------------------------------------
| adaptive/               |              |
|    adaptation_factor    | 1            |
|    algorithm            | PPO          |
|    base_clip_range      | 0.2          |
|    base_lr              | 0.0003       |
|    clip_range           | 0.2          |
|    drift_magnitude      | 0            |
|    ent_coef             | 0            |
|    learning_rate        | 0.0003       |
| env/                    |              |
|    base_value           | 9.8          |
|    gravity              | 9.8          |
| rollout/                |              |
|    ep_len_mean          | 25.4         |
|    ep_rew_mean          | 25.4         |
| time/                   |              |
|    fps                  | 1041         |
|    iterations           | 2            |
|    time_elapsed         | 3            |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.009455091  |
|    clip_fraction        | 0.116        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.685       |
|    explained_variance   | 0.0019194484 |
|    learning_rate        | 0.0003       |
|    loss                 | 6.84         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.0179      |
|    value_loss           | 51.1         |
------------------------------------------
-----------------------------------------
| adaptive/               |             |
|    adaptation_factor    | 1           |
|    algorithm            | PPO         |
|    base_clip_range      | 0.2         |
|    base_lr              | 0.0003      |
|    clip_range           | 0.2         |
|    drift_magnitude      | 0           |
|    ent_coef             | 0           |
|    learning_rate        | 0.0003      |
| env/                    |             |
|    base_value           | 9.8         |
|    gravity              | 9.8         |
| rollout/                |             |
|    ep_len_mean          | 35.6        |
|    ep_rew_mean          | 35.6        |
| time/                   |             |
|    fps                  | 997         |
|    iterations           | 3           |
|    time_elapsed         | 6           |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.012247732 |
|    clip_fraction        | 0.0883      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.663      |
|    explained_variance   | 0.093123734 |
|    learning_rate        | 0.0003      |
|    loss                 | 11.4        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0206     |
|    value_loss           | 33.4        |
-----------------------------------------
------------------------------------------
| adaptive/               |              |
|    adaptation_factor    | 1            |
|    algorithm            | PPO          |
|    base_clip_range      | 0.2          |
|    base_lr              | 0.0003       |
|    clip_range           | 0.2          |
|    drift_magnitude      | 0            |
|    ent_coef             | 0            |
|    learning_rate        | 0.0003       |
| env/                    |              |
|    base_value           | 9.8          |
|    gravity              | 9.8          |
| rollout/                |              |
|    ep_len_mean          | 49.2         |
|    ep_rew_mean          | 49.2         |
| time/                   |              |
|    fps                  | 991          |
|    iterations           | 4            |
|    time_elapsed         | 8            |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0074620023 |
|    clip_fraction        | 0.087        |
|    clip_range           | 0.2          |
