wandb: Currently logged in as: hungtrab (hungtrab-hanoi-university-of-science-and-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run tx7gebrs
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in logs/MiniGrid_Empty-5x5_reward_scale_linear_Baseline_20251218_101124/wandb/run-20251218_102055-tx7gebrs
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run MiniGrid_Empty-5x5_reward_scale_linear_Baseline_20251218_101124
wandb: ⭐️ View project at https://wandb.ai/hungtrab-hanoi-university-of-science-and-technology/MiniGrid_Drift_Research
wandb: 🚀 View run at https://wandb.ai/hungtrab-hanoi-university-of-science-and-technology/MiniGrid_Drift_Research/runs/tx7gebrs
/home/hungchan/miniconda3/envs/rl_hf_course/lib/python3.10/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
--- Training Start: MiniGrid_Empty-5x5_reward_scale_linear_Baseline_20251218_101124 ---
>>> [Wrapper] Initialized Non-Stationary MiniGrid
    - reward_scale: linear
>>> Initializing PPO with kwargs: ['policy', 'env', 'learning_rate', 'gamma', 'verbose', 'tensorboard_log', 'n_steps', 'batch_size']
Using cuda device
Wrapping the env in a DummyVecEnv.
Wrapping the env in a VecTransposeImage.
Logging to logs/MiniGrid_Empty-5x5_reward_scale_linear_Baseline_20251218_101124_0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 93.8     |
|    ep_rew_mean     | 0.0964   |
| time/              |          |
|    fps             | 782      |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 512      |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 71.9         |
|    ep_rew_mean          | 0.329        |
| time/                   |              |
|    fps                  | 745          |
|    iterations           | 2            |
|    time_elapsed         | 1            |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0018674962 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.95        |
|    explained_variance   | 0.0644       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0042      |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00214     |
|    value_loss           | 0.00165      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 74.7        |
|    ep_rew_mean          | 0.298       |
| time/                   |             |
|    fps                  | 774         |
|    iterations           | 3           |
|    time_elapsed         | 1           |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.006787228 |
|    clip_fraction        | 0.0252      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | 0.0224      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00278     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00701    |
|    value_loss           | 0.0236      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 73          |
|    ep_rew_mean          | 0.313       |
| time/                   |             |
|    fps                  | 786         |
|    iterations           | 4           |
|    time_elapsed         | 2           |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.003556922 |
|    clip_fraction        | 0.0164      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | 0.0195      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00345     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00228    |
|    value_loss           | 0.00788     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 72.9        |
|    ep_rew_mean          | 0.309       |
| time/                   |             |
|    fps                  | 796         |
|    iterations           | 5           |
|    time_elapsed         | 3           |
|    total_timesteps      | 2560        |
| train/                  |             |
|    approx_kl            | 0.008330084 |
|    clip_fraction        | 0.0707      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.91       |
|    explained_variance   | 0.0225      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0125     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00843    |
|    value_loss           | 0.0164      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 71.4        |
|    ep_rew_mean          | 0.327       |
| time/                   |             |
|    fps                  | 799         |
|    iterations           | 6           |
|    time_elapsed         | 3           |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.010349914 |
|    clip_fraction        | 0.0717      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.87       |
|    explained_variance   | 0.0583      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0252     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00638    |
|    value_loss           | 0.0161      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 63.9       |
|    ep_rew_mean          | 0.41       |
| time/                   |            |
|    fps                  | 806        |
|    iterations           | 7          |
|    time_elapsed         | 4          |
|    total_timesteps      | 3584       |
| train/                  |            |
|    approx_kl            | 0.00911692 |
|    clip_fraction        | 0.0898     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.82      |
|    explained_variance   | 0.0418     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0123    |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.00858   |
|    value_loss           | 0.0182     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 63.8        |
|    ep_rew_mean          | 0.411       |
| time/                   |             |
|    fps                  | 812         |
|    iterations           | 8           |
|    time_elapsed         | 5           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.005701676 |
|    clip_fraction        | 0.0221      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | 0.085       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0174     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00399    |
|    value_loss           | 0.0315      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 66.3         |
|    ep_rew_mean          | 0.384        |
| time/                   |              |
|    fps                  | 811          |
|    iterations           | 9            |
|    time_elapsed         | 5            |
|    total_timesteps      | 4608         |
| train/                  |              |
|    approx_kl            | 0.0077966563 |
|    clip_fraction        | 0.0273       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.86        |
|    explained_variance   | 0.0481       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00323      |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00528     |
|    value_loss           | 0.0128       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 68.1        |
|    ep_rew_mean          | 0.366       |
| time/                   |             |
|    fps                  | 813         |
|    iterations           | 10          |
|    time_elapsed         | 6           |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.007533722 |
|    clip_fraction        | 0.0199      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.86       |
|    explained_variance   | -0.521      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00169    |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00487    |
|    value_loss           | 0.00211     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 68.9        |
|    ep_rew_mean          | 0.357       |
| time/                   |             |
|    fps                  | 814         |
|    iterations           | 11          |
|    time_elapsed         | 6           |
|    total_timesteps      | 5632        |
| train/                  |             |
|    approx_kl            | 0.013004871 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.81       |
|    explained_variance   | 0.0146      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.024      |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00878    |
|    value_loss           | 0.00455     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 69.3       |
|    ep_rew_mean          | 0.357      |
| time/                   |            |
|    fps                  | 813        |
|    iterations           | 12         |
|    time_elapsed         | 7          |
|    total_timesteps      | 6144       |
| train/                  |            |
|    approx_kl            | 0.01062005 |
|    clip_fraction        | 0.00156    |
